"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobCopr","samplEff.1"
"58","ANH_134","Species richness",13,13.994,1.861,13.09,24.009,4012.27738979,4372.4068974,5956.51740973,0,0,86.2216461436,3692.93375659,4147.77775296,735.935856156,4046.41475493,7449.29986845,4121.86096946,92.4842888361,"Platero","Bosque Ripario",0.5
"59","ANH_134","Shannon diversity",6.316,6.593,0.6,6.316,7.769,4012.27738979,4372.4068974,5956.51740973,0,0,86.2216461436,3692.93375659,4147.77775296,735.935856156,4046.41475493,7449.29986845,4121.86096946,92.4842888361,"Platero","Bosque Ripario",0.5
"60","ANH_134","Simpson diversity",3.91,3.982,0.465,3.91,4.893,4012.27738979,4372.4068974,5956.51740973,0,0,86.2216461436,3692.93375659,4147.77775296,735.935856156,4046.41475493,7449.29986845,4121.86096946,92.4842888361,"Platero","Bosque Ripario",0.5
"61","ANH_369","Species richness",12,20.978,10.149,13.516,65.152,900.980889468,9368.51272465,2143.67987701,0.309194141466,0.309194141466,9.32914430345,3398.51719337,288.493337933,5894.18279023,6832.43007291,7576.3913364,5981.97001047,3131.59658606,"Kale","Bosque Ripario",0.5
"62","ANH_369","Shannon diversity",2.811,2.887,0.168,2.811,3.216,900.980889468,9368.51272465,2143.67987701,0.309194141466,0.309194141466,9.32914430345,3398.51719337,288.493337933,5894.18279023,6832.43007291,7576.3913364,5981.97001047,3131.59658606,"Kale","Bosque Ripario",0.5
"63","ANH_369","Simpson diversity",2.236,2.243,0.091,2.236,2.422,900.980889468,9368.51272465,2143.67987701,0.309194141466,0.309194141466,9.32914430345,3398.51719337,288.493337933,5894.18279023,6832.43007291,7576.3913364,5981.97001047,3131.59658606,"Kale","Bosque Ripario",0.5
"64","ANH_137","Species richness",12,16.458,7.129,12.49,52.552,3249.6971626,5300.74814197,2998.82116791,0,0,39.6740433363,4247.0202919,4198.63557887,3015.20865344,5104.29075125,4483.12248492,4019.63149168,1897.12466021,"Platero","Bosque Ripario",1
"65","ANH_137","Shannon diversity",6.719,7.258,0.79,6.719,8.805,3249.6971626,5300.74814197,2998.82116791,0,0,39.6740433363,4247.0202919,4198.63557887,3015.20865344,5104.29075125,4483.12248492,4019.63149168,1897.12466021,"Platero","Bosque Ripario",1
"66","ANH_137","Simpson diversity",4.434,4.584,0.695,4.434,5.946,3249.6971626,5300.74814197,2998.82116791,0,0,39.6740433363,4247.0202919,4198.63557887,3015.20865344,5104.29075125,4483.12248492,4019.63149168,1897.12466021,"Platero","Bosque Ripario",1
"67","ANH_108","Species richness",8,8,0.587,8,9.752,4169.12630645,7041.02388467,78.529061878,0,0,61.3915848758,142.744112279,75.9216051966,7149.33660161,7149.33660161,520.918865432,632.459910152,110.902419057,"Kale","Bosque Ripario",0.5
"68","ANH_108","Shannon diversity",4.325,4.507,0.455,4.325,5.399,4169.12630645,7041.02388467,78.529061878,0,0,61.3915848758,142.744112279,75.9216051966,7149.33660161,7149.33660161,520.918865432,632.459910152,110.902419057,"Kale","Bosque Ripario",0.5
"69","ANH_108","Simpson diversity",2.959,3.026,0.454,2.959,3.917,4169.12630645,7041.02388467,78.529061878,0,0,61.3915848758,142.744112279,75.9216051966,7149.33660161,7149.33660161,520.918865432,632.459910152,110.902419057,"Kale","Bosque Ripario",0.5
"70","ANH_114","Species richness",12,12.995,2.269,12.071,26.049,7772.43765711,11419.8058711,1022.10809691,0,0,183.668761621,2484.37678576,510.283718324,3529.66430737,10890.3404168,1435.17847993,2797.31039025,6658.50651281,"Caracterizacion","Bosque Ripario",0.5
"71","ANH_114","Shannon diversity",6.42,6.612,0.398,6.42,7.393,7772.43765711,11419.8058711,1022.10809691,0,0,183.668761621,2484.37678576,510.283718324,3529.66430737,10890.3404168,1435.17847993,2797.31039025,6658.50651281,"Caracterizacion","Bosque Ripario",0.5
"72","ANH_114","Simpson diversity",5.233,5.336,0.287,5.233,5.898,7772.43765711,11419.8058711,1022.10809691,0,0,183.668761621,2484.37678576,510.283718324,3529.66430737,10890.3404168,1435.17847993,2797.31039025,6658.50651281,"Caracterizacion","Bosque Ripario",0.5
"73","ANH_116","Species richness",7,11.345,6.956,7.477,46.583,715.967483857,2814.45347069,3403.43592733,0,0,21.8924435076,2119.59407948,5349.77109701,5030.96654994,5030.96654994,3356.22507881,2465.43077871,127.562087129,"Platero","Bosque Ripario",0.5
"74","ANH_116","Shannon diversity",4.579,5.554,1.197,4.579,7.9,715.967483857,2814.45347069,3403.43592733,0,0,21.8924435076,2119.59407948,5349.77109701,5030.96654994,5030.96654994,3356.22507881,2465.43077871,127.562087129,"Platero","Bosque Ripario",0.5
"75","ANH_116","Simpson diversity",3.549,3.904,0.814,3.549,5.499,715.967483857,2814.45347069,3403.43592733,0,0,21.8924435076,2119.59407948,5349.77109701,5030.96654994,5030.96654994,3356.22507881,2465.43077871,127.562087129,"Platero","Bosque Ripario",0.5
"76","ANH_125","Species richness",12,14.241,3.383,12.265,30.971,1213.52641236,9033.35868172,2173.45753099,0,0,49.5349354553,3554.85103451,503.982787208,5774.91808584,6461.00685769,7691.88442548,5849.38150085,3144.69963347,"Kale","Bosque Ripario",0.5
"77","ANH_125","Shannon diversity",3.883,4.001,0.265,3.883,4.521,1213.52641236,9033.35868172,2173.45753099,0,0,49.5349354553,3554.85103451,503.982787208,5774.91808584,6461.00685769,7691.88442548,5849.38150085,3144.69963347,"Kale","Bosque Ripario",0.5
"78","ANH_125","Simpson diversity",2.813,2.834,0.146,2.813,3.12,1213.52641236,9033.35868172,2173.45753099,0,0,49.5349354553,3554.85103451,503.982787208,5774.91808584,6461.00685769,7691.88442548,5849.38150085,3144.69963347,"Kale","Bosque Ripario",0.5
"79","ANH_133","Species richness",8,12.445,7.11,8.489,48.445,3754.24871838,5776.91882848,3870.52127352,0,0,27.8725991505,5206.14944025,4428.69791633,2031.65975464,4792.44626716,5365.3995098,4437.47530607,1498.9772529,"Platero","Bosque Ripario",0.5
"80","ANH_133","Shannon diversity",4.284,4.616,0.523,4.284,5.642,3754.24871838,5776.91882848,3870.52127352,0,0,27.8725991505,5206.14944025,4428.69791633,2031.65975464,4792.44626716,5365.3995098,4437.47530607,1498.9772529,"Platero","Bosque Ripario",0.5
"81","ANH_133","Simpson diversity",3.635,3.757,0.301,3.635,4.348,3754.24871838,5776.91882848,3870.52127352,0,0,27.8725991505,5206.14944025,4428.69791633,2031.65975464,4792.44626716,5365.3995098,4437.47530607,1498.9772529,"Platero","Bosque Ripario",0.5
"82","ANH_138","Species richness",15,17.99,4.527,15.352,40.402,2023.0996943,4599.36726538,5937.17323501,0,0,78.6478687443,4954.44724907,6147.00390552,2270.74147776,2270.74147776,7190.65001517,5786.90125696,1054.5816454,"Platero","Bosque Ripario",1
"83","ANH_138","Shannon diversity",6.036,6.226,0.388,6.036,6.986,2023.0996943,4599.36726538,5937.17323501,0,0,78.6478687443,4954.44724907,6147.00390552,2270.74147776,2270.74147776,7190.65001517,5786.90125696,1054.5816454,"Platero","Bosque Ripario",1
"84","ANH_138","Simpson diversity",4.207,4.254,0.263,4.207,4.77,2023.0996943,4599.36726538,5937.17323501,0,0,78.6478687443,4954.44724907,6147.00390552,2270.74147776,2270.74147776,7190.65001517,5786.90125696,1054.5816454,"Platero","Bosque Ripario",1
"85","ANH_147","Species richness",15,27.484,17.117,16.663,108.715,8302.58243891,3617.92239452,5734.18772127,563.299829417,0,84.6054235413,3692.18219991,229.189819958,3851.79656364,4048.94849176,3383.03377986,887.019885277,4174.37764141,"Platero","Herbazal",0.5
"86","ANH_147","Shannon diversity",5.81,5.907,0.207,5.81,6.313,8302.58243891,3617.92239452,5734.18772127,563.299829417,0,84.6054235413,3692.18219991,229.189819958,3851.79656364,4048.94849176,3383.03377986,887.019885277,4174.37764141,"Platero","Herbazal",0.5
"87","ANH_147","Simpson diversity",4.844,4.868,0.137,4.844,5.137,8302.58243891,3617.92239452,5734.18772127,563.299829417,0,84.6054235413,3692.18219991,229.189819958,3851.79656364,4048.94849176,3383.03377986,887.019885277,4174.37764141,"Platero","Herbazal",0.5
"88","ANH_370","Species richness",13,15.984,4.504,13.353,38.251,4099.89329616,6125.85574765,3245.70198161,0,0,39.6740433363,4660.60946389,3711.52851526,2525.0865867,5514.26175788,4727.64781582,3718.77362296,2250.90043765,"Platero","Bosque Ripario",1
